show_character_id,fb_action_id,tv_show_name,episode_number,user_id,episode_id,created_at,updated_at,episode_season_number
69363606,,The Fragrant Flower Blooms with Dignity,7,75184478,11226952,2025-08-21 20:20:40,2025-08-21 20:20:40,1
69363602,,The Fragrant Flower Blooms with Dignity,9,75184478,11226954,2025-09-05 13:18:13,2025-09-05 13:18:13,1
69363602,,The Fragrant Flower Blooms with Dignity,10,75184478,11226955,2025-09-15 22:30:55,2025-09-15 22:30:55,1
65111900,,One Piece,57,75184478,11325923,2025-09-09 04:12:29,2025-09-09 04:12:29,22
65111900,,One Piece,58,75184478,11327053,2025-09-17 18:51:30,2025-09-17 18:51:34,22
64362245,,My Hero Academia,10,75184478,11377552,2025-12-29 09:04:43,2025-12-29 09:04:44,8
64362251,,My Hero Academia,11,75184478,11377555,2025-12-29 09:04:52,2025-12-29 09:04:52,8
68365750,,ONE PIECE (2023),2,75184478,11426052,2026-03-16 14:57:27,2026-03-16 14:57:27,2
68365750,,ONE PIECE (2023),8,75184478,11426058,2026-04-05 05:47:07,2026-04-05 05:47:07,2
65111354,,One Piece,65,75184478,11445271,2025-11-16 22:23:24,2025-11-16 22:23:24,22
69012507,,Frieren: Beyond Journey's End,3,75184478,11447766,2026-02-07 17:27:18,2026-02-07 17:27:18,2
68901202,,Frieren: Beyond Journey's End,7,75184478,11447770,2026-03-23 13:26:14,2026-03-23 13:26:16,2
69012507,,Frieren: Beyond Journey's End,8,75184478,11447771,2026-03-23 13:26:23,2026-03-23 13:26:23,2
68901202,,Frieren: Beyond Journey's End,9,75184478,11447772,2026-04-26 07:43:20,2026-04-26 07:43:20,2
69448826,,Record of Ragnarok,2,75184478,11501919,2026-01-24 17:23:09,2026-01-24 17:23:09,3
69448826,,Record of Ragnarok,3,75184478,11501920,2026-01-24 17:45:59,2026-01-24 17:46:03,3
68786181,,Record of Ragnarok,11,75184478,11501928,2026-01-26 09:45:27,2026-01-26 09:45:27,3
69450082,,Record of Ragnarok,12,75184478,11501929,2026-01-26 09:46:03,2026-01-26 09:46:03,3
69450082,,Record of Ragnarok,13,75184478,11501930,2026-01-26 15:36:12,2026-01-26 15:36:13,3
69450082,,Record of Ragnarok,14,75184478,11501931,2026-01-26 15:36:21,2026-01-26 15:36:23,3
68786181,,Record of Ragnarok,15,75184478,11501932,2026-01-26 15:36:28,2026-01-26 15:36:33,3
69446567,,Bhay: The Gaurav Tiwari Mystery,6,75184478,11504846,2026-02-15 07:32:43,2026-02-15 07:32:44,1
69446567,,Bhay: The Gaurav Tiwari Mystery,7,75184478,11504847,2026-02-15 07:32:57,2026-02-15 07:32:57,1
69450112,,Sentenced to Be a Hero,2,75184478,11506126,2026-01-16 08:33:57,2026-01-16 08:33:57,1
69446567,,Bhay: The Gaurav Tiwari Mystery,8,75184478,11509804,2026-02-15 07:33:04,2026-02-15 07:33:04,1
69450112,,Sentenced to Be a Hero,5,75184478,11518447,2026-02-09 17:09:47,2026-02-09 17:09:47,1
69450112,,Sentenced to Be a Hero,6,75184478,11518448,2026-02-14 03:11:35,2026-02-14 03:11:35,1
68849422,,Hell's Paradise,2,75184478,11522443,2026-01-20 14:48:21,2026-01-20 14:48:21,2
69466897,,Hell's Paradise,4,75184478,11522445,2026-03-04 10:18:17,2026-03-04 10:18:17,2
65530792,,JUJUTSU KAISEN,7,75184478,11547977,2026-03-30 13:43:24,2026-03-30 13:43:24,3
69071841,,JUJUTSU KAISEN,12,75184478,11547982,2026-04-16 14:47:08,2026-04-16 14:47:08,3
65710119,,Classroom of the Elite,4,75184478,11636324,2026-04-06 07:36:41,2026-04-06 07:36:41,4
69348823,,Off Campus,2,75184478,11686623,2026-05-18 11:00:46,2026-05-18 11:00:51,1
69348823,,Off Campus,5,75184478,11686626,2026-06-25 16:21:29,2026-06-25 16:21:30,1
69489970,,Witch Hat Atelier,3,75184478,11697831,2026-06-18 09:34:04,2026-06-18 09:34:04,1
69489970,,Witch Hat Atelier,4,75184478,11697832,2026-06-18 09:34:28,2026-06-18 09:34:28,1
65710119,,Classroom of the Elite,13,75184478,11704263,2026-06-05 11:19:45,2026-06-05 11:19:45,4
63378384,,Dr. STONE,26,75184478,11714033,2026-04-14 07:09:42,2026-04-14 07:09:42,4
63378384,,Dr. STONE,31,75184478,11714042,2026-05-20 09:45:53,2026-05-20 09:45:53,4
64425734,,"Re: ZERO, Starting Life in Another World",1,75184478,11714303,2026-06-15 04:19:55,2026-06-15 04:19:55,4
64425734,,"Re: ZERO, Starting Life in Another World",2,75184478,11714304,2026-06-15 04:19:58,2026-06-15 04:19:58,4
64425734,,"Re: ZERO, Starting Life in Another World",3,75184478,11714305,2026-06-15 04:20:02,2026-06-15 04:20:02,4
64425734,,"Re: ZERO, Starting Life in Another World",4,75184478,11714306,2026-06-15 04:20:06,2026-06-15 04:20:06,4
64425734,,"Re: ZERO, Starting Life in Another World",5,75184478,11714307,2026-06-15 04:20:11,2026-06-15 04:20:11,4
65660855,,"Re: ZERO, Starting Life in Another World",6,75184478,11714308,2026-06-15 04:20:16,2026-06-15 04:20:18,4
64425734,,"Re: ZERO, Starting Life in Another World",8,75184478,11714310,2026-06-15 14:52:45,2026-06-15 14:52:45,4
