user_id,tv_show_id,episode_id,created_at,updated_at,tv_show_name
75184478,380654,11195326,2025-07-15 18:48:33,2025-08-10 17:37:35,Rent-a-Girlfriend
75184478,383275,11126295,2025-04-24 15:00:05,2025-07-01 05:37:38,Squid Game
75184478,384541,8865679,2025-08-16 00:31:53,2025-08-16 00:31:57,Cyberpunk: Edgerunners
75184478,385496,10851451,2025-01-01 06:21:41,2025-02-04 01:23:17,Mismatched
75184478,388858,8130504,2026-01-17 05:28:04,2026-01-22 04:23:01,SK8 the Infinity
75184478,389597,10843945,2024-01-07 05:37:26,2025-03-31 07:29:51,Solo Leveling
75184478,392276,11426058,2026-03-17 13:46:26,2026-04-05 13:04:31,ONE PIECE (2023)
75184478,393478,10004438,2023-12-31 17:05:47,2023-12-31 17:05:47,Tokyo Revengers
75184478,393810,11501932,2026-01-25 02:35:55,2026-01-26 16:10:31,Record of Ragnarok
75184478,397060,11100621,2023-12-22 06:57:04,2025-09-07 07:06:07,Wednesday
75184478,402474,11522453,2026-01-12 12:41:07,2026-04-26 01:03:27,Hell's Paradise
75184478,402475,9237518,2025-10-11 17:44:52,2025-10-23 03:12:40,Orient
75184478,402637,9243571,2025-08-16 06:08:41,2025-08-16 20:08:50,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!
75184478,403262,10347121,2024-10-08 16:05:37,2024-11-23 08:22:53,Sunflower
75184478,404568,8482467,2024-02-11 21:15:03,2024-02-11 21:15:03,Indori Ishq
75184478,406152,8530933,2025-04-23 07:44:35,2025-04-23 07:44:35,Baki Hanma
75184478,407520,10001151,2025-02-22 15:34:06,2025-02-25 17:14:35,The Eminence in Shadow
75184478,407840,9229063,2026-01-06 17:20:34,2026-01-09 20:21:25,Aoashi
75184478,408629,10559638,2024-10-27 19:08:53,2024-12-29 06:47:08,BLUE LOCK
75184478,414947,10378698,2024-04-02 17:07:23,2024-05-26 09:38:42,Gods' Games We Play
75184478,416705,10302790,2024-02-12 12:42:13,2024-02-20 19:04:50,Crushed
75184478,417147,10391426,2025-12-20 13:30:36,2026-06-12 09:12:22,Spice and Wolf: MERCHANT MEETS THE WISE WOLF
75184478,418367,11704276,2025-12-31 12:31:10,2026-06-26 02:09:45,Farming Life in Another World
75184478,418666,11707369,2026-06-19 09:35:51,2026-06-26 02:09:46,Witch Hat Atelier
75184478,421069,10530178,2024-07-08 01:10:26,2024-07-22 21:50:56,Oshi no Ko
75184478,421737,9701901,2023-12-22 06:44:41,2023-12-22 06:45:06,MASHLE: MAGIC AND MUSCLES
